category,slug,label_gurmukhi,source_video,start,end
letters,ura,ੳ,,,
letters,aira,ਅ,,,
letters,iri,ੲ,,,
letters,sassa,ਸ,,,
letters,haha,ਹ,,,
letters,kakka,ਕ,,,
letters,khakha,ਖ,,,
letters,gagga,ਗ,,,
letters,ghagha,ਘ,,,
letters,nganga,ਙ,,,
letters,chacha,ਚ,,,
letters,chhachha,ਛ,,,
letters,jajja,ਜ,,,
letters,jhajha,ਝ,,,
letters,njanja,ਞ,,,
letters,tainka,ਟ,,,
letters,tthattha,ਠ,,,
letters,dadda,ਡ,,,
letters,dhadha,ਢ,,,
letters,nanha,ਣ,,,
letters,tatta,ਤ,,,
letters,thatha,ਥ,,,
letters,dadda-2,ਦ,,,
letters,dhadha-2,ਧ,,,
letters,nanna,ਨ,,,
letters,pappa,ਪ,,,
letters,phapha,ਫ,,,
letters,babba,ਬ,,,
letters,bhabha,ਭ,,,
letters,mamma,ਮ,,,
letters,yaiya,ਯ,,,
letters,rara,ਰ,,,
letters,lalla,ਲ,,,
letters,vava,ਵ,,,
letters,rrarra,ੜ,,,
navin,shasha,ਸ਼,,,
navin,khhakha,ਖ਼,,,
navin,ghhagha,ਗ਼,,,
navin,zazza,ਜ਼,,,
navin,faffa,ਫ਼,,,
navin,llalla,ਲ਼,,,
matras,mukta,ਮੁਕਤਾ,,,
matras,kanna,ਕੰਨਾ,,,
matras,sihari,ਸਿਹਾਰੀ,,,
matras,bihari,ਬਿਹਾਰੀ,,,
matras,aunkar,ਔਂਕੜ,,,
matras,dulainkar,ਦੁਲੈਂਕੜ,,,
matras,lava,ਲਾਂ,,,
matras,dulava,ਦੁਲਾਵਾਂ,,,
matras,hora,ਹੋੜਾ,,,
matras,kanaura,ਕਨੌੜਾ,,,
muharni,sassa,ਸ,,,
muharni,haha,ਹ,,,
muharni,kakka,ਕ,,,
muharni,khakha,ਖ,,,
muharni,gagga,ਗ,,,
muharni,ghagha,ਘ,,,
muharni,nganga,ਙ,,,
muharni,chacha,ਚ,,,
muharni,chhachha,ਛ,,,
muharni,jajja,ਜ,,,
muharni,jhajha,ਝ,,,
muharni,njanja,ਞ,,,
muharni,tainka,ਟ,,,
muharni,tthattha,ਠ,,,
muharni,dadda,ਡ,,,
muharni,dhadha,ਢ,,,
muharni,nanha,ਣ,,,
muharni,tatta,ਤ,,,
muharni,thatha,ਥ,,,
muharni,dadda-2,ਦ,,,
muharni,dhadha-2,ਧ,,,
muharni,nanna,ਨ,,,
muharni,pappa,ਪ,,,
muharni,phapha,ਫ,,,
muharni,babba,ਬ,,,
muharni,bhabha,ਭ,,,
muharni,mamma,ਮ,,,
muharni,yaiya,ਯ,,,
muharni,rara,ਰ,,,
muharni,lalla,ਲ,,,
muharni,vava,ਵ,,,
muharni,rrarra,ੜ,,,
numbers,n0,੦ ਸਿਫ਼ਰ,,,
numbers,n1,੧ ਇੱਕ,,,
numbers,n2,੨ ਦੋ,,,
numbers,n3,੩ ਤਿੰਨ,,,
numbers,n4,੪ ਚਾਰ,,,
numbers,n5,੫ ਪੰਜ,,,
numbers,n6,੬ ਛੇ,,,
numbers,n7,੭ ਸੱਤ,,,
numbers,n8,੮ ਅੱਠ,,,
numbers,n9,੯ ਨੌਂ,,,
numbers,n10,੧੦ ਦਸ,,,
numbers,n20,੨੦ ਵੀਹ,,,
numbers,n30,੩੦ ਤੀਹ,,,
numbers,n40,੪੦ ਚਾਲੀ,,,
numbers,n50,੫੦ ਪੰਜਾਹ,,,
numbers,n60,੬੦ ਸੱਠ,,,
numbers,n70,੭੦ ਸੱਤਰ,,,
numbers,n80,੮੦ ਅੱਸੀ,,,
numbers,n90,੯੦ ਨੱਬੇ,,,
numbers,n100,੧੦੦ ਸੌ,,,
